id,locationID,victimID,month,day,year,classification,armed,lawenforcementagency
79,79,79,January,30,2016,Gunshot,Firearm,"Missouri State Highway Patrol, Jackson County Sheriff's Office"
80,80,80,January,31,2016,Gunshot,Knife,"Collier County Sheriff's Office"
81,81,81,January,31,2016,Gunshot,Firearm,"Newark Police Department"
82,82,82,February,2,2016,Gunshot,Firearm,"Albuquerque Police Department, Bernalillo County Sheriff’s Department"
83,83,83,February,2,2016,Gunshot,Knife,"Rancho Cordova Police Department"
84,84,84,February,3,2016,Gunshot,Firearm,"Okmulgee County Sheriff's Office"
85,85,85,January,29,2016,Gunshot,Vehicle,"Lee County Sheriff's Office"
86,86,86,February,2,2016,Gunshot,No,"City of Carbondale Police Department"
87,87,87,February,3,2016,Gunshot,Unknown,"Rosebud Police Department"
88,88,88,February,3,2016,Gunshot,Firearm,"Marion County Sheriff's Office"
89,89,89,February,4,2016,Gunshot,No,"San Antonio Police Department"
90,90,90,February,4,2016,Gunshot,"Non-lethal firearm","Lake County Sheriff's Office"
91,91,91,February,4,2016,Gunshot,Knife,"Mesa Police Department"
92,92,92,February,4,2016,Gunshot,Firearm,"Independence Police Department"
93,93,93,February,5,2016,Gunshot,Vehicle,"Hawaii Police Department"
94,94,94,January,31,2016,Gunshot,Firearm,"California Highway Patrol"
95,95,95,February,5,2016,Gunshot,Firearm,"Escambia County Sheriff's Office"
96,96,96,February,4,2016,Gunshot,Firearm,"US Border Patrol"
97,97,97,February,5,2016,Gunshot,Firearm,"Seaside Police Department"
98,98,98,February,6,2016,Gunshot,Knife,Unknown
99,99,99,February,6,2016,Gunshot,Firearm,"Los Angeles Police Department"
100,100,100,February,7,2016,Gunshot,Unknown,"Lonoke County Sheriff's Office"
101,101,101,February,7,2016,Gunshot,Firearm,"Columbus Division of Police"
102,102,102,February,8,2016,Gunshot,Firearm,"Chester Police Department"
103,103,103,February,8,2016,Gunshot,No,"Austin Police Department"
104,104,104,February,5,2016,Gunshot,Firearm,"Iredell County Sheriff's Office"
105,105,105,February,8,2016,Gunshot,Vehicle,"Jefferson Parish Sheriff's Office"
106,106,106,February,9,2016,Gunshot,No,"Anaheim Police Department"
107,107,107,February,9,2016,Gunshot,Firearm,"Hawaii Police Department"
108,108,108,February,10,2016,Gunshot,Firearm,"Harford County Sheriff’s Office"
109,109,109,February,10,2016,Gunshot,Firearm,"United States Marshals Service"
110,110,110,February,5,2016,Gunshot,No,"Addis Police Department"
111,111,111,February,10,2016,Gunshot,Knife,"Roseville Police Department"
112,112,112,February,10,2016,Gunshot,Firearm,"Texas Department of Public Safety"
113,113,113,February,10,2016,Gunshot,Firearm,"North Slope Borough Police Department"
114,114,114,February,11,2016,Gunshot,Other,"Los Angeles County Sheriff's Department"
115,115,115,February,11,2016,Gunshot,Other,"Columbus Division of Police"
116,116,116,February,11,2016,Gunshot,Knife,"Maiden Police Department"
117,117,117,February,12,2016,Gunshot,Firearm,"Boston Police Department"
118,118,118,February,12,2016,Gunshot,Firearm,"Syracuse Police Department"
119,119,119,February,12,2016,Gunshot,Firearm,"Fort Worth Police Department"
120,120,120,February,13,2016,Gunshot,No,"Texas Department of Public Safety"
121,121,121,February,13,2016,Gunshot,Firearm,"Baton Rouge Police Department"
122,122,122,February,13,2016,Gunshot,No,"Buckingham County Sheriff's Department"
123,123,123,February,13,2016,Gunshot,Firearm,"Urbandale Police Department"
124,124,124,February,14,2016,Gunshot,Knife,"Los Angeles Police Department"
125,125,125,February,14,2016,Gunshot,Firearm,"Los Angeles County Sheriff's Department"
126,126,126,February,14,2016,Gunshot,Knife,"Manatee County Sheriff's Office"
127,127,127,February,15,2016,Gunshot,Unknown,"Orange County Sheriff's Department"
128,128,128,February,16,2016,Gunshot,Knife,"Fairfield Police Department"
129,129,129,February,16,2016,Gunshot,Vehicle,"Republic Police Department"
130,130,130,February,16,2016,Gunshot,Firearm,"Mena Police Department"
131,131,131,February,9,2016,Gunshot,No,"Colonie Police Department"
132,131,132,February,9,2016,Gunshot,No,"Colonie Police Department"
133,132,133,January,17,2016,Gunshot,Knife,"Department of Homeland Security"
134,133,134,February,15,2016,Gunshot,Firearm,"Lea County Sheriff’s Office, Jal Police Department"
135,134,135,February,17,2016,Gunshot,"Non-lethal firearm","Cincinnati Police Department"
136,135,136,February,18,2016,Gunshot,Unknown,"Commerce Police Department"
137,136,137,February,18,2016,Gunshot,Unknown,"Santa Ana Police Department"
138,136,138,February,18,2016,Gunshot,Unknown,"Santa Ana Police Department"
139,137,139,February,18,2016,Gunshot,Firearm,"Parker County Sheriff's Office"
140,138,140,February,19,2016,Gunshot,Knife,"Ogden Police Department"
141,139,141,February,20,2016,Gunshot,Firearm,"Lakewood Police Department, Pierce County Sheriff's Department, Steilacoom Department of Public Safety"
142,140,142,February,20,2016,Gunshot,Firearm,"Mississippi Bureau of Narcotics, Mississippi Highway Patrol"
143,141,143,February,20,2016,Gunshot,Firearm,"United States Marshals Service"
144,142,144,February,20,2016,Gunshot,Firearm,"Anaheim Police Department"
145,143,145,February,21,2016,Gunshot,Firearm,"Inglewood Police Department"
146,143,146,February,21,2016,Gunshot,Unknown,"Inglewood Police Department"
147,144,147,February,21,2016,Gunshot,Firearm,"Seattle Police Department"
148,145,148,February,21,2016,Gunshot,Firearm,"Phoenix Police Department"
149,146,149,February,22,2016,Gunshot,Firearm,"Alaska Department of Public Safety"
150,147,150,February,22,2016,Gunshot,Knife,"Bakersfield Police Department"
151,148,151,February,22,2016,Gunshot,Vehicle,"Mission Police Department"
152,149,152,February,22,2016,Gunshot,Firearm,"Denver Police Department"
153,150,153,February,22,2016,Gunshot,"Non-lethal firearm","Fairborn Police Department"
154,151,154,February,23,2016,Gunshot,Other,"Harris County Constable's Office"
155,152,155,February,19,2016,Gunshot,Firearm,"Elizabethton Police Department"
156,153,156,February,23,2016,Gunshot,Firearm,"Phoenix Police Department"
157,154,157,February,23,2016,Gunshot,Firearm,"Manteca Police Department, Stockton Police Department"
158,155,158,February,23,2016,Gunshot,Vehicle,"East Baton Rouge Parish Sheriff's Office"
159,156,159,February,24,2016,Gunshot,Knife,"Blue Springs Police Department"
160,157,160,February,24,2016,Gunshot,Firearm,"Park County Sheriff's Office"
161,158,161,February,24,2016,Gunshot,Vehicle,"Phoenix Police Department"
162,159,162,February,24,2016,Gunshot,Vehicle,"Los Angeles County Sheriff's Department"
163,160,163,February,25,2016,Gunshot,Firearm,"Greeley Police Department, LaSalle Police Department"
164,161,164,February,25,2016,Gunshot,Disputed,"Montgomery Police Department"
165,162,165,February,25,2016,Gunshot,Firearm,"Lyon County Sheriff's Office"
166,163,166,February,25,2016,Gunshot,Firearm,"Hesston Police Department"
167,164,167,February,26,2016,Gunshot,No,"Pennington County Sheriff's Office"
168,165,168,February,26,2016,Gunshot,"Non-lethal firearm","Roanoke County Police Department"
169,166,169,February,27,2016,Gunshot,Firearm,"Wilson County Sheriff's Office"
170,167,170,February,28,2016,Gunshot,Firearm,"Ashville Police Department"
171,168,171,February,28,2016,Gunshot,Firearm,"Rapid City Police Department"
172,169,172,February,29,2016,Gunshot,Firearm,"Raleigh Police Department"
173,170,173,March,1,2016,Gunshot,Firearm,"Palm Bay Police Department"
174,171,174,March,1,2016,Gunshot,Firearm,"Euless Police Department"
175,172,175,March,1,2016,Gunshot,Firearm,"Gautier Police Department"
176,173,176,March,2,2016,Gunshot,No,"Harford County Sheriff's Office"
177,174,177,March,3,2016,Gunshot,Knife,"Mesa Police Department"
178,175,178,January,28,2016,Gunshot,Firearm,"Clackamas County Sheriff's Office"
179,176,179,March,2,2016,Gunshot,Knife,"Johnstown Police Department"
180,177,180,March,5,2016,Gunshot,Firearm,"Cheektowaga Police Department"
181,178,181,March,5,2016,Gunshot,Firearm,"Beaumont Police Department"
182,179,182,March,4,2016,Gunshot,Unknown,"Montgomery County Sheriff's Office"
183,180,183,March,6,2016,Gunshot,Firearm,"South Gate Police Department"
184,181,184,March,7,2016,Gunshot,Firearm,"Rochester Police Department"
185,182,185,March,6,2016,Gunshot,No,"Bismarck Police Department"
186,183,186,March,6,2016,Gunshot,Firearm,"Azle Police Department"
187,184,187,March,7,2016,Gunshot,Unknown,"United States Marshals Service"
188,185,188,March,7,2016,Gunshot,Knife,"San Jose Police Department"
189,186,189,March,7,2016,Gunshot,Firearm,"Carbon County Sheriff's Office"
190,187,190,March,4,2016,Gunshot,No,"Laurel County Constable's Office"
191,188,191,March,8,2016,Gunshot,"Non-lethal firearm","Hillsborough County Sheriff's Office"
192,189,192,March,7,2016,Gunshot,No,"Carlsbad Police Department, Eddy County Sheriff's Office"
193,190,193,March,3,2016,Taser,No,"Kenly Police Department"
194,191,194,March,10,2016,Gunshot,Firearm,"Odessa Police Department"
195,192,195,March,10,2016,Gunshot,"Non-lethal firearm","Reno Police Department, Sparks Police Department, Washoe County Sheriff's Office"
196,193,196,March,10,2016,Gunshot,"Non-lethal firearm","Biloxi Police Department"
197,194,197,March,10,2016,Gunshot,Firearm,"Long Beach Police Department"
198,195,198,March,10,2016,Gunshot,Unknown,"Colorado State Patrol"
199,196,199,March,11,2016,Gunshot,Firearm,"Norfolk Police Department"
200,197,200,March,11,2016,Gunshot,Firearm,"Butler County Sheriff's Office"
201,198,201,March,11,2016,Gunshot,Firearm,"Newark (CA) Police Department"
202,199,202,March,12,2016,Gunshot,No,"Houston Police Department"
203,200,203,March,12,2016,Gunshot,Firearm,"Chester Police Department"
204,201,204,March,13,2016,Gunshot,No,"Lenoir City Police Department"
205,202,205,March,12,2016,Gunshot,No,"Harris County Sheriff's Office"
206,203,206,March,13,2016,Gunshot,Firearm,"Piedmont Police Department"
207,204,207,March,13,2016,Gunshot,Unknown,"West Covina Police Department"
208,205,208,March,13,2016,Gunshot,Knife,"Clark County Sheriff's Office"
209,206,209,March,11,2016,Gunshot,Knife,"Dewitt County Sheriff's Office, Clinton Police Department"
210,207,210,March,13,2016,Gunshot,No,"Farmers Branch Police Department"
211,208,211,March,13,2016,Gunshot,Firearm,"Prince George's County Police Department"
212,209,212,March,14,2016,Gunshot,Firearm,"Chicago Police Department"
213,210,213,March,15,2016,Gunshot,Firearm,"Russellville Police Department"
214,211,214,March,16,2016,Gunshot,No,"Los Angeles County Sheriff's Department"
215,212,215,March,15,2016,Gunshot,Firearm,"Fort Worth Police Department"
216,213,216,March,15,2016,Gunshot,Knife,"Evansville Police Department"
217,214,217,March,16,2016,Gunshot,Unknown,"Fontana Police Department"
218,215,218,March,16,2016,Gunshot,Firearm,"San Antonio Police Department"
219,216,219,March,16,2016,Gunshot,Firearm,"Anson County Sheriff's Office"
220,217,220,March,17,2016,Gunshot,Knife,"Burnsville Police Department"
221,218,221,March,17,2016,Gunshot,Firearm,"Tampa Police Department"
222,219,222,January,5,2016,Gunshot,Firearm,"Charlotte-Mecklenburg Police Department"
223,220,223,March,17,2016,Gunshot,Unknown,"Houston Police Department"
224,220,224,March,17,2016,Gunshot,Unknown,"Houston Police Department"
225,221,225,March,18,2016,Gunshot,Firearm,"Contra Costa County Sheriff's Office"
226,222,226,March,19,2016,Gunshot,"Non-lethal firearm","Norfolk Police Department"
227,223,227,March,19,2016,Gunshot,Firearm,"Park Forest Police Department"
228,224,228,March,19,2016,Gunshot,Firearm,"Kentucky State Police"
229,225,229,March,19,2016,Gunshot,Unknown,"St Tammany Parish Sheriff's Office"
230,226,230,March,20,2016,Gunshot,Knife,"Hopewell Police Department"
231,227,231,March,20,2016,Gunshot,Firearm,"Fort Wayne Police Department, Indiana State Police"
232,228,232,March,20,2016,Gunshot,"Non-lethal firearm","Alachua County Sheriff's Office, Gainesville Police Department"
233,229,233,March,20,2016,Gunshot,Firearm,"Pennsylvania State Police"
234,230,234,March,21,2016,Gunshot,Knife,"Burlington Police Department"
235,231,235,March,21,2016,Gunshot,Firearm,"Pennsylvania State Police"
236,232,236,March,21,2016,Gunshot,"Non-lethal firearm","Stamford Police Department"
237,233,237,March,22,2016,Gunshot,No,"Fredericksburg Police Department"
238,234,238,March,22,2016,Gunshot,Other,"Miami-Dade Police Department"
239,235,239,March,23,2016,Gunshot,Firearm,"Thornton Police Department"
240,236,240,March,23,2016,Gunshot,Firearm,"Memphis Police Department"
241,237,241,March,24,2016,Gunshot,Knife,"Braintree Police Department"
242,238,242,March,23,2016,Gunshot,Firearm,"Fresno Police Department"
243,239,243,March,24,2016,Gunshot,Firearm,"Pueblo Police Department"
244,240,244,March,24,2016,Gunshot,Firearm,"Redlands Police Department"
245,241,245,March,24,2016,Gunshot,"Non-lethal firearm","Pawtucket Police Department"
246,242,246,March,24,2016,Gunshot,Firearm,"US Marshals"
247,243,247,March,26,2016,Gunshot,Firearm,"Grundy Police Department"
248,244,248,March,24,2016,Gunshot,Firearm,"Laguna Pueblo Police Department"
249,245,249,March,26,2016,Gunshot,Firearm,"Tampa Police Department"
250,246,250,March,26,2016,Gunshot,Firearm,"Myrtle Beach Police Department"
251,247,251,March,26,2016,Gunshot,Knife,"Lowell Police Department"
252,248,252,March,26,2016,Gunshot,Firearm,"Roswell Police Department"
253,249,253,March,27,2016,Gunshot,Firearm,"North Carolina State Highway Patrol"
254,250,254,March,27,2016,Gunshot,Other,"Winslow Police Department"
255,251,255,March,27,2016,Gunshot,Knife,"Lee's Summit Police Department"
256,252,256,March,27,2016,Gunshot,Firearm,"Montgomery County Sheriff's Office"
257,253,257,March,29,2016,Gunshot,Other,"Clearlake Police Department"
258,254,258,March,29,2016,Gunshot,Firearm,"Greenville County Sheriff's Office"
259,255,259,March,29,2016,Gunshot,Firearm,"Aitkin County Sheriff's Office"
260,256,260,March,30,2016,Gunshot,Firearm,"Los Angeles County Sheriff's Department"
261,257,261,March,31,2016,Gunshot,Firearm,"Virginia State Police"
262,258,262,March,31,2016,Gunshot,Firearm,"Baltimore Police Department"
263,258,263,March,31,2016,Gunshot,Firearm,"Baltimore Police Department"
264,259,264,April,1,2016,Gunshot,Other,"Caldwell County Sheriff’s Office"
265,260,265,April,1,2016,Gunshot,Firearm,"Odessa Police Department"
266,261,266,April,2,2016,Gunshot,Firearm,"Indianapolis Metropolitan Police Department"
267,262,267,April,3,2016,Gunshot,Other,"Eau Claire County Sheriff's Office"
268,263,268,April,3,2016,Gunshot,Firearm,"Austin Police Department"
269,264,269,April,3,2016,Gunshot,Knife,"Auburn Police Department"
270,265,270,April,4,2016,Gunshot,Knife,"Minneapolis Police Department"
271,266,271,April,5,2016,Gunshot,No,"Indianapolis Metropolitan Police Department"
272,267,272,April,5,2016,Gunshot,Knife,"West Springfield Police Department"
273,268,273,April,6,2016,Gunshot,Other,"Jackson County Sheriff's Office"
274,269,274,April,6,2016,Taser,No,"Manatee County Sheriff’s Office"
275,270,275,April,6,2016,Gunshot,Other,"Sumner County Sheriff's Office"
276,271,276,April,6,2016,Gunshot,Knife,"Los Angeles Police Department"
277,272,277,April,7,2016,Gunshot,Knife,"San Francisco Police Department"
278,273,278,April,7,2016,Gunshot,Unknown,"Omaha Police Department"
279,274,279,April,7,2016,Gunshot,No,"Arkansas Department of Corrections"
280,275,280,April,8,2016,Gunshot,Knife,"Sacramento Police Department"
281,276,281,April,8,2016,Gunshot,Knife,"Kentwood Police Department"
282,277,282,April,8,2016,Gunshot,Other,"Lake Hallie Police Department"
283,278,283,April,9,2016,Gunshot,Firearm,"Franklin Township Police Department"
284,279,284,April,10,2016,Gunshot,Firearm,"Modesto Police Department"
285,280,285,April,10,2016,Gunshot,Knife,"Los Angeles Police Department"
286,281,286,April,9,2016,Gunshot,Firearm,"Philadelphia Police Department"
287,282,287,April,10,2016,Gunshot,Knife,"Rotterdam Police Department"
288,283,288,April,11,2016,Gunshot,Firearm,"Chicago Police Department"
289,284,289,April,11,2016,Gunshot,Firearm,"Las Vegas Metropolitan Police Department"
290,285,290,April,12,2016,Gunshot,No,"Denver Police Department"
291,286,291,April,12,2016,Gunshot,Vehicle,"Holmes County Sheriff's Office"
292,287,292,April,13,2016,Gunshot,Unknown,"Stockton Police Department"
293,288,293,April,12,2016,Gunshot,Firearm,"Franklin County Sheriff's Department"
294,289,294,April,13,2016,Gunshot,Firearm,"Texas Department of Public Safety, Llano County Sheriff's Office"
295,290,295,April,13,2016,Gunshot,Firearm,"White County Sheriff's Office"
296,291,296,April,10,2016,Gunshot,Firearm,"Memphis Police Department"
297,292,297,April,14,2016,Gunshot,No,"McPherson County Sheriff's Department"
298,293,298,April,15,2016,Gunshot,Unknown,"Muncie Police Department"
299,294,299,April,15,2016,Gunshot,Firearm,"Comanche County Sheriff's Office"
300,295,300,April,15,2016,Gunshot,Other,"Lake Elsinore Police Department"
301,296,301,April,16,2016,Gunshot,Firearm,"Lake County Sheriff's Office, McHenry County Sheriff's Office"
302,297,302,April,17,2016,Gunshot,Firearm,"Dayton Police Department"
303,298,303,April,17,2016,Gunshot,Firearm,"New York Police Department"
304,299,304,April,17,2016,Gunshot,Firearm,"Vineland Police Department"
305,300,305,April,17,2016,Gunshot,Vehicle,"Troy Police Department"
306,301,306,April,17,2016,Gunshot,No,"El Paso Police Department"
307,302,307,April,19,2016,Gunshot,Firearm,"St Louis Metropolitan Police Department"
308,303,308,April,19,2016,Gunshot,Firearm,"Charlotte-Mecklenburg Police Department"
309,304,309,April,18,2016,Gunshot,Firearm,"Greenbelt Police Department"
310,305,310,April,18,2016,Gunshot,Firearm,"Cobb County Police Department"
311,306,311,April,15,2016,Gunshot,"Non-lethal firearm","Baltimore Police Department"
312,307,312,April,19,2016,Gunshot,Firearm,"Blount County Sheriff's Office, Marshall County Sheriff's Office, Snead Police Department, Blountsville Police Department"
313,308,313,April,20,2016,Gunshot,Firearm,"Miami-Dade Police Department"
314,309,314,April,20,2016,Gunshot,Unknown,"Johnson County Sheriff's Office"
315,310,315,April,21,2016,Gunshot,Knife,"Everett Police Department"
316,311,316,March,11,2016,Gunshot,Firearm,"Greensboro Police Department"
317,312,317,April,22,2016,Gunshot,Knife,"Austin Police Department"
318,313,318,April,22,2016,Gunshot,Knife,"New York State Police"
319,314,319,April,23,2016,Gunshot,Firearm,"Chandler Police Department"
320,315,320,April,23,2016,Gunshot,Firearm,"Antigo Police Department"
321,316,321,April,23,2016,Gunshot,No,"Fort Pierce Police Department"
322,317,322,April,23,2016,Gunshot,Firearm,"Norfolk Police Department"
323,318,323,April,24,2016,Taser,No,"Gulfport Police Department"
324,319,324,April,25,2016,Gunshot,Firearm,"Henderson County Sheriff's Office"
325,320,325,April,26,2016,Gunshot,Firearm,"Bernalillo County Sheriff's Department"
326,321,326,April,26,2016,Gunshot,Firearm,"Chesapeake Police Department"
327,322,327,April,26,2016,Gunshot,Firearm,"Lakewood Police Department"
328,323,328,April,26,2016,Gunshot,Firearm,"Seguin Police Department"
329,324,329,April,27,2016,Gunshot,Firearm,"Westminster Police Department"
330,325,330,April,27,2016,Gunshot,Other,"DeKalb County Police Department"
331,326,331,April,28,2016,Gunshot,Knife,"Miami Police Department"
332,327,332,April,28,2016,Gunshot,No,"Harris County Constable Precinct 5"
333,328,333,April,28,2016,Gunshot,Knife,"Spokane Police Department"
334,329,334,April,28,2016,Gunshot,Firearm,"Ada County Sheriff's Office"
335,330,335,April,29,2016,Gunshot,No,"Missouri State Highway Patrol"
336,331,336,April,30,2016,Gunshot,Knife,"Utah County Sheriff's Office"
337,332,337,April,29,2016,Gunshot,Vehicle,"Pinal County Sheriff's Office, Maricopa County Sheriff's Office"
338,333,338,April,30,2016,Gunshot,Knife,"Wausau Police Department"
339,334,339,May,1,2016,Gunshot,"Non-lethal firearm","Orlando Police Department"
340,335,340,April,30,2016,Gunshot,Knife,"Los Angeles Police Department"
341,336,341,March,7,2016,Taser,No,"Stockton Police Department"
342,337,342,February,6,2016,Gunshot,Firearm,"Kenton Police Department"
343,338,343,February,24,2016,Gunshot,No,"Walworth County Sheriff's Office"
344,339,344,March,30,2016,Gunshot,Firearm,"City of Jackson Police Department"
345,340,345,February,11,2016,Gunshot,Firearm,"Clayton County Police Department"
346,341,346,May,1,2016,Gunshot,Firearm,"Crockett County Sheriff's Department, Maury City Police Department"
347,342,347,May,3,2016,Gunshot,Knife,"Visalia Police Department"
348,343,348,May,4,2016,Gunshot,Firearm,"King County Sheriff's Office"
349,344,349,May,4,2016,Gunshot,Vehicle,"Philadelphia Police Department"
350,345,350,May,4,2016,Gunshot,Unknown,"Missouri State Highway Patrol"
351,346,351,May,4,2016,Gunshot,Knife,"Temecula Police Department"
352,347,352,May,5,2016,Gunshot,Firearm,"Orange County Sheriff's Office"
353,348,353,May,5,2016,Gunshot,Firearm,"Milwaukee Police Department"
354,349,354,May,5,2016,Gunshot,Unknown,"Gretna Police Department"
355,350,355,May,6,2016,Gunshot,Firearm,"Weirton Police Department"
356,351,356,May,7,2016,Gunshot,Firearm,"Pinellas County Sheriff's Office"
357,352,357,May,7,2016,Gunshot,Firearm,"Snohomish County Sheriff's Office, Everett Police Department"
358,353,358,May,7,2016,Gunshot,"Non-lethal firearm","Long Beach Police Department"
359,354,359,May,9,2016,Gunshot,Firearm,"Saint Paul Police Department"
360,355,360,May,9,2016,Gunshot,No,"Jackson County Sheriff's Office"
361,356,361,May,9,2016,Gunshot,Firearm,"Chicago Police Department"
362,357,362,April,23,2016,Gunshot,No,"Fayetteville Police Department"
363,358,363,May,7,2016,Gunshot,Knife,"Presque Isle Police Department"
364,359,364,May,9,2016,Gunshot,"Non-lethal firearm","El Paso Police Department"
365,360,365,May,9,2016,Gunshot,Firearm,"Nacogdoches County Sheriff's Office, Texas Highway Patrol"
366,361,366,May,11,2016,Gunshot,Firearm,"Aurora Police Department"
367,362,367,May,10,2016,Gunshot,Knife,"Plymouth County Sheriff's Department"
368,363,368,May,11,2016,Gunshot,Firearm,"Greeley Police Department"
